"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
157,"22641140","益榮工業股份有限公司","基隆市安樂區安樂路一段一九二號","",12000000,"0760919","1050113"
158,"22702835","浩斌企業股份有限公司","臺南市新營區嘉芳里五福路108號","",10000000,"0761229","1050130"
159,"22713328","銘千企業有限公司","新北市三重區中正北路428巷24號","",3000000,"0740731","1050105"
160,"22725035","凱盛工程有限公司","臺北市內湖區瑞光路281號3樓","",16000000,"0761127","1050108"
161,"22829685","翊榮企業有限公司","高雄市新興區中正二路218號10樓之4","",1000000,"0770615","1050106"
162,"22843552","盛大興業有限公司","高雄市新興區五福一街2號10樓之5","",10000000,"0771205","1050126"
163,"22851102","前鎮鐘錶有限公司","高雄市前鎮區瑞隆路611號","",2000000,"0780314","1050121"
164,"22876997","智鋼機械工程有限公司","新北市汐止區樟樹一路99巷5弄1號","",3000000,"0770503","1050120"
165,"22914578","鐽鑫機械有限公司","臺中市豐原區三村里社皮路314巷2號","",3000000,"0770505","1050105"
166,"22919172","豐曜精密工業股份有限公司","新北市五股區中興路一段128巷24號1樓","",5000000,"0770511","1050130"
167,"22968659","源濬實業股份有限公司","臺北市文山區忠順街2段114號1樓","",5000000,"0770712","1050121"
168,"22971346","一泰電腦有限公司","彰化縣溪湖鎮太平里文二街十二號","",2500000,"0770715","1050107"
169,"23004416","人本化工原料有限公司","嘉義市芳安里宣信街二一號","",1000000,"0770906","1041231"
170,"23016659","禾貿企業有限公司","臺北市大安區信義路2段228巷21號4樓","",6000000,"0770706","1050107"
171,"23029697","立升綫圈有限公司","臺北市松山區寶清街40號6樓","",5000000,"0770803","1050115"
172,"23046773","美玲鮮花禮品有限公司","臺北市中正區羅斯福路2段50號8樓之2","",1000000,"0770909","1050105"
173,"23050620","越強有限公司","臺北市中正區博愛路25號5樓之5","",5000000,"0770919","1050119"
174,"23137491","長麟旅行社股份有限公司","臺北市中山區雙城街18巷2-1號3樓","",7000000,"0771207","1050104"
175,"23141087","民祥貿易有限公司","臺北市內湖區民權東路6段264號5樓","",5000000,"0771216","1050114"
176,"23171791","成龍電器有限公司","桃園市中壢區普義里中山東路1段3號","",5000000,"0771221","1050108"
177,"23175543","坤村有限公司","臺中市龍井區龍泉里龍新路153巷31號","",5000000,"0771228","1050129"
178,"23183207","宇峰國際興業有限公司","臺南市大武街三七六號","",5000000,"0780112","1050106"
179,"23273185","易大紙業有限公司","桃園市觀音區中山路2段871巷7弄10號","",5000000,"0780530","1050104"
180,"23283064","邁捷股份有限公司","臺北市內湖區瑞光路583巷26號4樓","",15000000,"0780316","1050106"
