SiteName,MonitorDate,Concentration,ItemUnit
汐止,2016-03-25,17,μg/m3
基隆,2016-03-25,15,μg/m3
馬公,2016-03-22,24,μg/m3
金門,2016-03-22,,μg/m3
馬祖,2016-03-22,30,μg/m3
宜蘭,2016-03-22,20,μg/m3
陽明,2016-03-22,9,μg/m3
花蓮,2016-03-22,14,μg/m3
臺東,2016-03-22,12,μg/m3
恆春,2016-03-22,10,μg/m3
屏東,2016-03-22,37,μg/m3
前金,2016-03-22,47,μg/m3
美濃,2016-03-22,25,μg/m3
臺南,2016-03-22,62,μg/m3
新營,2016-03-22,60,μg/m3
嘉義,2016-03-22,63,μg/m3
朴子,2016-03-22,56,μg/m3
斗六,2016-03-22,58,μg/m3
南投,2016-03-22,49,μg/m3
彰化,2016-03-22,46,μg/m3
忠明,2016-03-22,43,μg/m3
豐原,2016-03-22,36,μg/m3
三義,2016-03-22,19,μg/m3
苗栗,2016-03-22,43,μg/m3
新竹,2016-03-22,36,μg/m3
竹東,2016-03-22,34,μg/m3
平鎮,2016-03-22,29,μg/m3
桃園,2016-03-22,34,μg/m3
萬華,2016-03-22,29,μg/m3
士林,2016-03-22,26,μg/m3
板橋,2016-03-22,32,μg/m3
汐止,2016-03-22,32,μg/m3
基隆,2016-03-22,25,μg/m3
馬公,2016-03-19,15,μg/m3
金門,2016-03-19,,μg/m3
馬祖,2016-03-19,46,μg/m3
宜蘭,2016-03-19,,μg/m3
陽明,2016-03-19,8,μg/m3
花蓮,2016-03-19,19,μg/m3
臺東,2016-03-19,17,μg/m3
恆春,2016-03-19,21,μg/m3
屏東,2016-03-19,,μg/m3
前金,2016-03-19,23,μg/m3
美濃,2016-03-19,27,μg/m3
臺南,2016-03-19,25,μg/m3
新營,2016-03-19,31,μg/m3
嘉義,2016-03-19,34,μg/m3
朴子,2016-03-19,28,μg/m3
斗六,2016-03-19,41,μg/m3
南投,2016-03-19,36,μg/m3
彰化,2016-03-19,37,μg/m3
忠明,2016-03-19,36,μg/m3
豐原,2016-03-19,31,μg/m3
三義,2016-03-19,20,μg/m3
苗栗,2016-03-19,32,μg/m3
新竹,2016-03-19,29,μg/m3
竹東,2016-03-19,22,μg/m3
平鎮,2016-03-19,27,μg/m3
桃園,2016-03-19,29,μg/m3
萬華,2016-03-19,29,μg/m3
士林,2016-03-19,27,μg/m3
板橋,2016-03-19,34,μg/m3
汐止,2016-03-19,26,μg/m3
基隆,2016-03-19,26,μg/m3
馬公,2016-03-16,16,μg/m3
金門,2016-03-16,71,μg/m3
馬祖,2016-03-16,44,μg/m3
宜蘭,2016-03-16,11,μg/m3
陽明,2016-03-16,,μg/m3
花蓮,2016-03-16,8,μg/m3
臺東,2016-03-16,6,μg/m3
恆春,2016-03-16,8,μg/m3
屏東,2016-03-16,42,μg/m3
前金,2016-03-16,46,μg/m3
美濃,2016-03-16,28,μg/m3
臺南,2016-03-16,40,μg/m3
新營,2016-03-16,37,μg/m3
嘉義,2016-03-16,42,μg/m3
朴子,2016-03-16,34,μg/m3
斗六,2016-03-16,41,μg/m3
南投,2016-03-16,39,μg/m3
彰化,2016-03-16,30,μg/m3
