區域,量測點,平均下載速率註,平均上傳速率註,階段
潮州鎮,潮州火車站大廳,4.22,1.02,一
潮州鎮,8大森林樂園售票口,7.14,1.44,一
潮州鎮,燒冷冰圓環老店,5.65,1.38,一
霧臺鄉,霧臺鄉公所大門口,2.47,0.81,一
霧臺鄉,神山瀑布(神山愛玉),4.85,1.27,一
霧臺鄉,霧臺遊憩區(歸人沙城),3.51,0.97,一
鹽埔鄉,鹽埔鄉公所大門口,7.88,1.3,一
鹽埔鄉,大仁科大大門口,5.92,1.42,一
鹽埔鄉,慈天宮前廣場,7.18,1.46,一
台東縣,,,,
大武鄉,大武火車站大廳,9.6,1.42,一
大武鄉,大武濱海公園停車場,7.34,1.39,一
大武鄉,尚武7-11,7.99,1.37,一
太麻里鄉,太麻里鄉公所大門口,5.48,1.37,一
太麻里鄉,太麻里曙光公園,5.12,1.23,一
太麻里鄉,台灣牛牛肉麵用餐區,5.91,1.36,一
成功鎮,三仙台風景區(停車場),7.65,1.36,一
成功鎮,石雨傘風景區(涼亭),9.59,1.22,一
成功鎮,成功水生館售票口,3.69,1.37,一
池上鄉,池上火車站大廳,3.6,1.11,一
池上鄉,日暉渡假飯店大門口,7.42,1.46,一
池上鄉,池上悟饕飯包文化故事館用餐區,5.12,1.34,一
卑南鄉,初鹿牧場售票口,5.72,1.38,一
卑南鄉,知本溫泉區(東台飯店),7.43,1.32,一
卑南鄉,原生應用植物園售票口,7.24,1.44,一
延平鄉,延平鄉公所大門口,7.16,1.48,一
延平鄉,布農部落售票口,11.96,1.45,一
延平鄉,紅葉國小大門口,8.18,1.46,一
東河鄉,東河7-11超商,9.5,1.47,一
東河鄉,東河包子,8,1.41,一
東河鄉,都蘭國小大門口,4.98,1.3,一
金峰鄉,金峰鄉公所大門口,6.31,1.5,一
金峰鄉,正興社區活動中心,7.33,1.43,一
,大門口,,,
金峰鄉,嘉蘭村活動中心,5.82,1.31,一
長濱鄉,長濱鄉公所大門口,5.26,1.3,一
長濱鄉,長濱市場(農會超市前),7.57,1.45,一
長濱鄉,南長濱7-11超商,6.32,1.31,一
海端鄉,初來派出所大門口,5.73,1.45,一
海端鄉,海端鄉公所大門口,8.48,1.53,一
海端鄉,天龍橋風景區(吊橋前),4.64,1.41,一
鹿野鄉,鹿野火車站大廳,5.18,0.79,一
鹿野鄉,鹿野鄉公所大門口,6.17,1.22,一
鹿野鄉,鹿野高台熱氣球,9.24,1.39,一
達仁鄉,達仁鄉公所大門口,11.33,1.45,一
