MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
D00802,臺南市官田區勝利路146號,2014-07-22,臺南市,官田區,隆本村勝利路146號,22,變電所,14.94,mG,True
D00801,臺南市官田區工業路30號,2014-07-22,臺南市,官田區,二鎮村工業路30號,22,變電所,6.232,mG,True
D00800,臺南市永康區大橋一街247巷142號,2014-07-17,臺南市,永康區,大橋一街247巷142號,22,變電所,11.34,mG,True
E00891,HE103-09-008,2014-09-26,高雄市,新興區,高雄市七賢一路123號附近,11,手機基地臺,0.0115,mW/cm<sup>2</sup>,True
Q10123,新港鄉古民國小,2014-06-16,嘉義縣,新港鄉,古民村161號,91,學校極低頻設施,39.15,mG,True
G00665,礁溪鄉龍潭湖基地台量測,2014-10-30,宜蘭縣,礁溪鄉,龍潭湖停車場,11,手機基地臺,0.004,mW/cm<sup>2</sup>,True
E00894,HE103-10-001,2014-10-08,高雄市,新興區,高雄市信守街52號附近,11,手機基地臺,0.0022,mW/cm<sup>2</sup>,True
H00879,蘆竹市南崁路二段350號-基地台量測,2014-09-02,桃園縣,蘆竹鄉,南崁路二段350號,11,手機基地臺,1.5E-06,mW/cm<sup>2</sup>,True
H00878,蘆竹市南崁路二段465號-基地台量測,2014-09-02,桃園縣,桃園市,蘆竹市南崁路二段465號,11,手機基地臺,7E-07,mW/cm<sup>2</sup>,True
E00895,HE103-10-002,2014-10-08,高雄市,左營區,高雄市文府路548號附近,11,手機基地臺,0.0041,mW/cm<sup>2</sup>,True
H00881,中壢市萬能路1號:萬能科技大學(中山堂)左邊-基地台量測,2014-09-02,桃園縣,中壢市,萬能路1號,11,手機基地臺,4E-07,mW/cm<sup>2</sup>,True
H00880,中壢市萬能路1號:萬能科技大學(育英樓)-基地台量測,2014-09-02,桃園縣,中壢市,中壢市萬能路1號,11,手機基地臺,2E-07,mW/cm<sup>2</sup>,True
A00939,臺北市石牌國小電磁場量測,2014-10-16,臺北市,北投區,致遠二路80號,91,學校極低頻設施,37,mG,True
A00938,臺北市中正國中電磁場量測,2014-10-13,臺北市,中正區,愛國東路158號,91,學校極低頻設施,27.4,mG,True
H00884,桃園縣八德市永豐路381-1號-基地台量測,2014-10-08,桃園縣,八德市,永豐路381-1號,11,手機基地臺,4E-07,mW/cm<sup>2</sup>,True
H00882,中壢市萬能路1號:萬能科技大學(中山堂)右邊-基地台量測,2014-09-02,桃園縣,中壢市,萬能路1號,11,手機基地臺,4E-07,mW/cm<sup>2</sup>,True
A00936,臺北市介壽國中電磁場量測,2014-10-06,臺北市,松山區,延壽街401號,91,學校極低頻設施,38.3,mG,True
E00893,HE103-09-010,2014-09-30,高雄市,鳳山區,高雄市光遠路295號附近,11,手機基地臺,0.0031,mW/cm<sup>2</sup>,True
E00892,HE103-09-009,2014-09-30,高雄市,鳳山區,高雄市鳳山區自由路243號附近,11,手機基地臺,0.0045,mW/cm<sup>2</sup>,True
E00890,HE103-09-007,2014-09-26,高雄市,苓雅區,高雄市中正二路83號附近,11,手機基地臺,0.0035,mW/cm<sup>2</sup>,True
D00799,臺南市新市區環西路一段12號,2014-07-16,臺南市,新市區,環西路一段12號,22,變電所,11.203,mG,True
D00798,臺南市新市區中山路201號,2014-07-16,臺南市,新市區,永就村中山路201號,22,變電所,6.195,mG,True
D00797,臺南市善化區大成路90號,2014-07-16,臺南市,善化區,大成路90號,22,變電所,8.327,mG,True
M10081,藍城變電所,2014-09-17,南投縣,埔里鎮,中正路1065 號,22,變電所,15.1,mG,True
N00852,大成國小,2014-08-02,彰化縣,彰化市,自強路303號,24,落地型變壓器,46.452,mG,True
N00851,忠孝國小,2014-08-02,彰化縣,彰化市,忠誠路61號,24,落地型變壓器,18.862,mG,True
N00848,秀水國中,2014-08-02,彰化縣,秀水鄉,安東村中山路202號,24,落地型變壓器,20.896,mG,True
P10125,西螺舊果菜市場落地型變壓器(K3065 AC62),2014-08-14,雲林縣,西螺鎮,建興路與菜市街交叉路口處,24,落地型變壓器,24.91,mG,True
F01047,樹德變電所,2014-07-22,新北市,樹林區,羌寮里18鄰中正路280號,22,變電所,12.25,mG,True
N00835,永靖國小,2014-08-01,彰化縣,永靖鄉,永東村中山路二段65號,24,落地型變壓器,10.23,mG,True
E00879,HE103-08-002(高雄國際會議中心旁),2014-08-21,高雄市,鹽埕區,高雄市中正四路274號,11,手機基地臺,0.0013,mW/cm<sup>2</sup>,True
M10079,中寮超高壓變電所,2014-09-17,南投縣,中寮鄉,復興村復興巷10號,22,變電所,58.4,,True
E00889,HE103-09-006,2014-09-18,高雄市,左營區,高雄市自由路561號附近,11,手機基地臺,0.0007,mW/cm<sup>2</sup>,True
E00888,HE103-09-005,2014-09-18,高雄市,左營區,高雄市重立路520號附近,11,手機基地臺,0.0015,mW/cm<sup>2</sup>,True
M10080,埔里變電所,2014-09-17,南投縣,埔里鎮,隆光路20號,22,變電所,9.2,mG,True
N00854,僑信國小,2014-08-03,彰化縣,員林鎮,中山路二段280號,24,落地型變壓器,52.683,mG,True
N00846,花壇國小,2014-08-02,彰化縣,花壇鄉,長沙村學前路108號,24,落地型變壓器,22.331,mG,True
N00843,新庄國小,2014-08-01,彰化縣,和美鎮,彰新路二段500號,24,落地型變壓器,16.032,mG,True
N00842,溪湖國中,2014-08-01,彰化縣,溪湖鎮,東寮里彰水路四段60號,24,落地型變壓器,2.52,mG,True
E00887,HE103-09-004,2014-09-15,高雄市,三民區,高雄市水源路85號附近,11,手機基地臺,0.0004,mW/cm<sup>2</sup>,True
E00886,HE103-09-003,2014-09-15,高雄市,苓雅區,高雄市福德三路315號附近,11,手機基地臺,0.0003,mW/cm<sup>2</sup>,True
F01046,樹安變電所,2014-07-22,新北市,樹林區,大安路84號,22,變電所,7.841,mG,True
E00885,HE103-09-002,2014-09-05,高雄市,鳳山區,高雄市青年路二段616號附近,11,手機基地臺,0.0007,mW/cm<sup>2</sup>,True
E00883,HE103-09-001(曹公國民小學附近),2014-09-03,高雄市,鳳山區,高雄市鳳山區曹公路25號,11,手機基地臺,0.002,mW/cm<sup>2</sup>,True
F01048,景星變電所,2014-07-22,新北市,板橋區,四川路一段287號,22,變電所,8.781,mG,True
N00853,大同國中,2014-08-03,彰化縣,員林鎮,大同路一段345號,24,落地型變壓器,18.036,mG,True
N00850,平和國小,2014-08-02,彰化縣,彰化市,中正路二段450號,24,落地型變壓器,15.278,mG,True
N00849,民生國小,2014-08-02,彰化縣,彰化市,民生路338號,24,落地型變壓器,21.883,mG,True
N00847,明正國小,2014-08-02,彰化縣,秀水鄉,彰水路二段341號,24,落地型變壓器,35.463,mG,True
N00845,何美高中(國中部),2014-08-01,彰化縣,和美鎮,和西里西園路31號,24,落地型變壓器,21.76,mG,True
